INVOICE;VIN_NUMBER;BL_NUMBER;MODEL_CODE;POL;POD;VESSEL;INCOTERM
67027806;9BWKB45ZX84035124;;5Z1HF4;S-O SEBAST;ZARATE;SOUTHERN ACE;FOB
67027806;9BWKB45Z084035116;;5Z1HF4;S-O SEBAST;ZARATE;SOUTHERN ACE;FOB
67027806;9BWKB45Z084035570;;5Z1HF4;S-O SEBAST;ZARATE;SOUTHERN ACE;FOB
67027806;9BWKB45Z184034976;;5Z1HF4;S-O SEBAST;ZARATE;SOUTHERN ACE;FOB
67027806;9BWKB45Z384034820;;5Z1HF4;S-O SEBAST;ZARATE;SOUTHERN ACE;FOB
67027806;9BWKB45Z384035546;;5Z1HF4;S-O SEBAST;ZARATE;SOUTHERN ACE;FOB
67027806;9BWKB45Z484035197;;5Z1HF4;S-O SEBAST;ZARATE;SOUTHERN ACE;FOB
67027806;9BWKB45Z584034964;;5Z1HF4;S-O SEBAST;ZARATE;SOUTHERN ACE;FOB
67027806;9BWKB45Z584035435;;5Z1HF4;S-O SEBAST;ZARATE;SOUTHERN ACE;FOB
67027806;9BWCA01J184005882;;9B32F4;S-O SEBAST;ZARATE;SOUTHERN ACE;FOB
67027806;9BWCA01J484006895;;9B32F4;S-O SEBAST;ZARATE;SOUTHERN ACE;FOB
67027806;9BWCA01J584005853;;9B32F4;S-O SEBAST;ZARATE;SOUTHERN ACE;FOB
67027806;9BWCA41J384007009;;9B32F4;S-O SEBAST;ZARATE;SOUTHERN ACE;FOB
67027806;9BWCA41J584006900;;9B32F4;S-O SEBAST;ZARATE;SOUTHERN ACE;FOB
67027806;9BWCA41J684006453;;9B32F4;S-O SEBAST;ZARATE;SOUTHERN ACE;FOB
67027806;9BWCA41J884006888;;9B32F4;S-O SEBAST;ZARATE;SOUTHERN ACE;FOB
67027807;9BWKB05ZX84036346;;5Z11F4;S-O SEBAST;ZARATE;SOUTHERN ACE;FOB
67027807;9BWKB05ZX84036864;;5Z11F4;S-O SEBAST;ZARATE;SOUTHERN ACE;FOB
67027807;9BWKB05ZX84036959;;5Z11F4;S-O SEBAST;ZARATE;SOUTHERN ACE;FOB
67027807;9BWKB05Z084033259;;5Z11F4;S-O SEBAST;ZARATE;SOUTHERN ACE;FOB
67027807;9BWKB05Z084036971;;5Z11F4;S-O SEBAST;ZARATE;SOUTHERN ACE;FOB
67027807;9BWKB05Z084037201;;5Z11F4;S-O SEBAST;ZARATE;SOUTHERN ACE;FOB
67027807;9BWKB05Z184036963;;5Z11F4;S-O SEBAST;ZARATE;SOUTHERN ACE;FOB
67027807;9BWKB05Z184037420;;5Z11F4;S-O SEBAST;ZARATE;SOUTHERN ACE;FOB
67027807;9BWKB05Z284033053;;5Z11F4;S-O SEBAST;ZARATE;SOUTHERN ACE;FOB
67027807;9BWKB05Z284036227;;5Z11F4;S-O SEBAST;ZARATE;SOUTHERN ACE;FOB
